,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
153,NC,HATTERAS      ,2,HSE,-99.0,-99.0,-99.0,9.0,9.0,-999.0,-999.0,-999 ,-999,-99.0
213,TX,EL PASO       ,0,ELP,148.0,-13.0,92.0,5.0,1.0,-999.0,-999.0,422 -,318,57.0
45,FL,TALLAHASSEE   ,0,TLH,0.0,-501.0,0.0,0.0,0.0,-999.0,-999.0,3037-,2199,58.0
13,AZ,PHOENIX       ,0,PHX,25.0,-50.0,17.0,4.0,0.0,-999.0,-999.0,368 -,216,63.0
220,TX,VICTORIA      ,0,VCT,369.0,-131.0,240.0,8.0,1.0,-999.0,-999.0,1955-,1099,64.0
27,CO,CO SPRINGS    ,0,COS,32.0,-91.0,12.0,6.0,0.0,-999.0,-999.0,1009 ,-543,65.0
219,TX,SAN ANTONIO   ,0,SAT,146.0,-154.0,87.0,5.0,1.0,-999.0,-999.0,1675 ,-788,68.0
230,WA,OLYMPIA       ,0,OLM,343.0,140.0,87.0,4.0,3.0,-999.0,-999.0,2065 ,-971,68.0
210,TX,CORPUS CHRISTI,0,CRP,419.0,-84.0,79.0,3.0,5.0,-999.0,-999.0,1721 ,-773,69.0
190,SC,COLUMBIA      ,0,CAE,196.0,-198.0,101.0,5.0,2.0,-999.0,-999.0,2780-,1135,71.0
54,HI,HILO          ,0,ITO,772.0,-142.0,124.0,4.0,4.0,-999.0,-999.0,6511-,2532,72.0
155,NC,WILMINGTON    ,0,ILM,833.0,154.0,581.0,7.0,3.0,-999.0,-999.0,3439-,1271,73.0
53,GA,SAVANNAH      ,0,SAV,127.0,-381.0,41.0,6.0,0.0,-999.0,-999.0,3107-,1035,75.0
231,WA,QUILLAYUTE    ,0,UIL,945.0,530.0,249.0,6.0,7.0,-999.0,-999.0,4674-,1558,75.0
10,AK,KODIAK        ,0,ADQ,443.0,-341.0,101.0,6.0,3.0,-999.0,-999.0,3981-,1257,76.0
52,GA,MACON         ,0,MCN,2.0,-324.0,2.0,1.0,0.0,-999.0,-999.0,2732 ,-816,77.0
39,FL,KEY WEST      ,0,EYW,410.0,-135.0,161.0,3.0,2.0,-999.0,-999.0,2295 ,-685,77.0
43,FL,PENSACOLA     ,0,PNS,0.0,-575.0,0.0,0.0,0.0,-999.0,-999.0,3962-,1183,77.0
173,OR,ASTORIA       ,0,AST,620.0,359.0,154.0,7.0,4.0,-999.0,-999.0,3185 ,-898,78.0
